Pennant Sector,Scale,DebtorsDaysMin,DebtorsDaysMax
Storage & Distribution Industry,Medium,"4,396","10,657.25"
Storage & Distribution Industry,Small,"4,805","18,952"
Sugar Industry,Large,"1,197","3,886"
Sugar Industry,Medium,"1,070.5","3,089.75"
Sugar Industry,Small,"1,708.5","8,283.25"
Synthetic Rubber,Large,"5,313","5,313"
Synthetic Rubber,Medium,"10,448","10,448"
Synthetic Rubber,Small,"9,101","9,101"
Tea Industry,Large,733.5,"3,687.5"
Tea Industry,Medium,538,"2,924"
Tea Industry,Small,975.5,"4,628.5"
Telecommunication Services,Large,"7,133","12,203"
Telecommunication Services,Medium,"4,168.5","10,808"
Telecommunication Services,Small,"5,544","31,367"
Textile Others,Large,"2,982.25","8,436.5"
Textile Others,Medium,"3,734.75","10,036.75"
Textile Others,Small,"4,215","14,248"
Textile Processing ,Large,"2,757.75","6,751"
Textile Processing ,Medium,"5,965","11,105.75"
Textile Processing ,Small,"6,308.25","20,439.75"
Tobacco Products Industry,Large,909.25,"4,996.75"
Tobacco Products Industry,Medium,"2,253.25","7,267"
Tobacco Products Industry,Small,"8,123.5","18,093.75"
Tourism Industry,Large,"8,599","34,882"
Tourism Industry,Medium,"5,818.25","43,066"
Tourism Industry,Small,"21,526",600
Transport Logistics Services,Large,"4,604","9,615"
Transport Logistics Services,Medium,"5,273","11,454"
Transport Logistics Services,Small,"4,852","23,224.5"
Vegetable Oils & Products Industry,Large,598.5,"2,130.75"
Vegetable Oils & Products Industry,Medium,834,"3,996.25"
Vegetable Oils & Products Industry,Small,"1,405.25","9,451"
Wires & Cables,Large,"5,015","12,897"
Wires & Cables,Medium,"6,860","10,448"
Wires & Cables,Small,"4,217.25","13,580.25"
Wood & Wood Products,Large,"4,047","8,340"
Wood & Wood Products,Medium,"8,098","16,338"
Wood & Wood Products,Small,"10,426","22,087"
