Pennant Sector,Scale,EBITDAMarginMin,EBITDAMarginMax
Other Textiles Industry,Medium,4.2,14.85
Other Textiles Industry,Small,4.44,12.47
Other Transport Equipment & Ancillaries,Large,10.86,17.6
Other Transport Equipment & Ancillaries,Medium,6.89,14.67
Other Transport Equipment & Ancillaries,Small,2,17.35
Paints & Varnishes ,Large,5.92,16.28
Paints & Varnishes ,Medium,9.31,15.52
Paints & Varnishes ,Small,2.13,9.62
Paper Products ,Large,7.05,15.45
Paper Products ,Medium,4.12,13.33
Paper Products ,Small,6.22,18.83
Petroleum Products,Large,4.7,15.41
Petroleum Products,Medium,7.28,13.52
Petroleum Products,Small,2.86,10.93
Pig Iron,Large,17,90
Pig Iron,Medium,1,6.61
Pig Iron,Small,2.48,15.77
Plastic Products,Large,8.48,18.51
Plastic Products,Medium,5.86,15.74
Plastic Products,Small,2.06,12.04
Polymers,Large,9.77,23.83
Polymers,Medium,7.73,16.39
Polymers,Small,6.22,24.11
Poultry & Meat Products ,Large,4.47,10.12
Poultry & Meat Products ,Medium,2.02,8.96
Poultry & Meat Products ,Small,5,44.29
Processed Foods Industry,Large,7.68,17.97
Processed Foods Industry,Medium,4.47,13.63
Processed Foods Industry,Small,2,15.65
Railway Transport & Allied Services ,Large,23.87,30.17
Railway Transport & Allied Services ,Medium,3.67,21.34
Railway Transport & Allied Services ,Small,45.83,90
Readymade Garments,Large,8.06,16.81
Readymade Garments,Medium,6.39,12.91
Readymade Garments,Small,2,15.28
Refractories,Large,9.67,18.33
Refractories,Medium,4.95,13.44
Refractories,Small,6.27,21.96
Retail Trading ,Large,3.42,12.97
Retail Trading ,Medium,1.42,8.39
Retail Trading ,Small,1,13.5
Road Transport & Allied Services,Large,4.09,80.42
Road Transport & Allied Services,Medium,18.52,81.2
Road Transport & Allied Services,Small,6.43,75.03
Rubber Products,Large,10.95,17.34
Rubber Products,Medium,7.3,17.38
Rubber Products,Small,0.81,13.75
Shipping,Large,16.39,64.79
Shipping,Medium,5.91,43.79
Shipping,Small,5.38,29.14
Shipping Transport & Allied Services ,Large,11.17,68.02
Shipping Transport & Allied Services ,Medium,6.15,53.44
Shipping Transport & Allied Services ,Small,2.52,25.48
Sponge Iron,Large,6.59,15.41
Sponge Iron,Medium,5.44,10.1
Sponge Iron,Small,3.13,9.21
Starches,Large,6.64,6.77
Starches,Medium,6.65,11.87
Starches,Small,3.58,9.72
Steel,Large,5.5,14.09
Steel,Medium,2.7,7.97
Steel,Small,2.57,10.04
Steel Pipes & Tubes,Large,5.5,14.07
Steel Pipes & Tubes,Medium,3.8,8.34
Steel Pipes & Tubes,Small,2.54,13.75
Storage & Distribution Industry,Large,20.44,85.73
Storage & Distribution Industry,Medium,4.95,52.26
Storage & Distribution Industry,Small,6.57,56.67
Sugar Industry,Large,10.99,16.47
Sugar Industry,Medium,5.4,17.44
Sugar Industry,Small,1,19.73
Synthetic Rubber,Large,15.66,15.66
Synthetic Rubber,Medium,12.87,12.87
Synthetic Rubber,Small,6.49,6.49
Tea Industry,Large,6.83,17.65
Tea Industry,Medium,8.38,20.47
Tea Industry,Small,1,16.61
Telecommunication Services,Large,9.6,44.76
Telecommunication Services,Medium,1.46,34.28
Telecommunication Services,Small,2,41.8
Textile Others,Large,6.77,17.94
Textile Others,Medium,4.36,13.96
Textile Others,Small,4.55,13.29
Textile Processing ,Large,5.66,17.39
Textile Processing ,Medium,2.56,12.07
Textile Processing ,Small,5.49,14.99
Tobacco Products Industry,Large,18.62,27.83
Tobacco Products Industry,Medium,4.4,15.49
Tobacco Products Industry,Small,0.57,13.86
Tourism Industry,Large,3,9.38
Tourism Industry,Medium,1.86,38.06
Tourism Industry,Small,1,16.39
Transport Logistics Services,Large,5.42,21.21
Transport Logistics Services,Medium,4.11,18.23
Transport Logistics Services,Small,1.61,19.34
Vegetable Oils & Products Industry,Large,2.01,7.07
Vegetable Oils & Products Industry,Medium,2.29,5.35
Vegetable Oils & Products Industry,Small,1.98,10.75
Wires & Cables,Large,5.7,11.15
Wires & Cables,Medium,5.01,12.13
Wires & Cables,Small,2.88,7.77
Wood & Wood Products,Large,6.97,12.23
Wood & Wood Products,Medium,7.42,16.28
Wood & Wood Products,Small,4,11.15
